ds,yhat,yhat_lower,yhat_upper
2021-01-31,4.383575,2.910049646313087,5.7587755452528535
2021-02-28,4.426265702912621,3.003619993968515,5.85298988811932
2021-03-31,4.473530409636736,3.0058811386355373,5.856895076642662
2021-04-30,4.519270448310499,3.0740192946675498,5.883551351027214
2021-05-31,4.566535155044047,3.1572178178766057,6.03815387363245
2021-06-30,4.61227519382077,3.2040851691186716,5.90931542306585
2021-07-31,4.659539900417901,3.174928487196846,6.028142741732624
2021-08-31,4.706804606925639,3.3444033327435947,6.12382370463315
2021-09-30,4.752544464815864,3.369313065080001,6.190026387626727
2021-10-31,4.7998089847353125,3.3060029872803947,6.218833345359555
2021-11-30,4.845548842700733,3.389877991344623,6.157153940913102
2021-12-31,4.892813362704067,3.4049765462953183,6.3083211082103
2022-01-31,4.940077882605257,3.477883344140287,6.369735286545982
2022-02-28,4.982768416609686,3.6180464214050136,6.439198036198217
2022-03-31,5.030032936317983,3.6810033703607674,6.460967682399076
2022-04-30,5.075772794100208,3.726831892011277,6.442185539725499
2022-05-31,5.1230373138085055,3.7110629393930084,6.629690030916484
2022-06-30,5.168777171590729,3.7277894063643138,6.560915623266337
2022-07-31,5.216041691299027,3.8080237311319625,6.703818214799759
2022-08-31,5.263306211007324,3.7729468163243056,6.590053940206181
2022-09-30,5.309046068789548,3.973642472676076,6.758771925774847
2022-10-31,5.356310588497845,3.948650696149529,6.819776884469327
2022-11-30,5.402050446280068,4.0993338874149385,6.780959416017976
2022-12-31,5.449314965988366,4.00848626857219,6.868813527318519
2023-01-31,5.496579485696664,4.129011773489973,6.928381615612295
2023-02-28,5.5392700196267395,4.154332228234996,6.8502077478927195
2023-03-31,5.5865345393350365,4.208228675574766,7.052297522894168
2023-04-30,5.632274397117261,4.131051883841008,6.97447559904113
2023-05-31,5.679538916825559,4.312371151740589,7.004812280195234
2023-06-30,5.725278774607782,4.333847380146638,7.079896238651283
